# grid 14x14x14  n=2744  ordering=0
stage	threads	dag	seconds	speedup	max_team	max_err
factor	1	0	0.081921	1.000	1	3.331e-15
solve1	1	0	0.000578	1.000	1	3.331e-15
solve4	1	0	0.001602	1.000	1	3.331e-15
factor	2	0	0.072090	1.136	2	3.331e-15
solve1	2	0	0.000580	0.996	2	3.331e-15
solve4	2	0	0.000905	1.771	2	3.331e-15
factor	1	1	0.083519	1.000	1	3.331e-15
solve1	1	1	0.000566	1.000	1	3.331e-15
solve4	1	1	0.001878	1.000	1	3.331e-15
factor	2	1	0.081667	1.023	2	3.331e-15
solve1	2	1	0.000489	1.155	2	3.331e-15
solve4	2	1	0.001114	1.686	2	3.331e-15
